window_id,start,end,trading_days,calendar_days,span_years
sample_078,2020-01-16,2025-12-02,1478,2147,5.865079365079365
sample_079,2016-11-04,2026-03-13,2350,3416,9.325396825396826
sample_080,2016-10-19,2025-11-25,2289,3324,9.083333333333334
sample_081,2020-02-21,2025-04-14,1294,1879,5.134920634920635
sample_082,2017-09-27,2025-05-28,1927,2800,7.646825396825397
sample_083,2018-12-12,2024-08-13,1426,2071,5.658730158730159
sample_084,2016-04-14,2026-01-27,2461,3575,9.765873015873016
sample_085,2016-07-29,2021-09-28,1301,1887,5.162698412698413
sample_086,2016-03-01,2025-11-18,2446,3549,9.706349206349206
sample_087,2016-10-24,2023-05-12,1649,2391,6.5436507936507935
sample_088,2016-12-16,2024-09-27,1957,2842,7.765873015873016
sample_089,2016-03-22,2022-08-16,1613,2338,6.400793650793651
sample_090,2017-11-30,2024-03-07,1576,2289,6.253968253968254
sample_091,2018-08-31,2024-11-04,1554,2257,6.166666666666667
sample_092,2018-11-08,2024-09-16,1471,2139,5.837301587301587
sample_093,2016-08-01,2026-01-21,2382,3460,9.452380952380953
sample_094,2015-12-10,2025-08-11,2430,3532,9.642857142857142
sample_095,2016-05-06,2026-01-14,2437,3540,9.670634920634921
sample_096,2015-11-23,2025-03-05,2333,3390,9.257936507936508
sample_097,2017-04-10,2020-12-21,933,1351,3.7023809523809526
sample_098,2017-06-30,2024-09-17,1815,2636,7.2023809523809526
sample_099,2016-01-05,2020-03-09,1051,1525,4.170634920634921
sample_100,2016-07-19,2024-07-05,2004,2908,7.9523809523809526
